Original File:	Z:\Olga\CarbonNanoDots\CNT (22Oct)\CNT 10-Nov-2022\20221110_0008_ureaCA_31_dil200_sen70sh100_c5_size_488.avi	Section:	0.1 [0]
Operator:	ZetaUser
Experiment:	20221110_0008
ZetaVIEW S/N:	21-703
Software:	ZetaView (version 8.05.14 SP7)	Analyze:	8.05.14 SP7
SOP:	<No SOP>
Sample:	ureaCA_31_dil200_sen70sh100_c5
Electrolyte:	H2O
pH:	7.000000	entered
Conductivity:	99.000000	sensed
Temperature:	20.180000	sensed
Viscosity:	1.000774
Date:	2022-11-10
Time:	17:18:39
General Remarks:	
Remarks:	
Sample Remarks0:	
Sample Remarks1:	
Sample Remarks2:
Scattering Intensity:	1.300000
Detected Particles:	47
Particle Drift Checked:	2022-11-10 17:04:10
Particle Drift Check Result:	OK
Cell Checked:	2022-11-10 15:33:46
Cell Check Result:	Very Good
Type of Measurement:	Size Distribution
Microscope Position:	0.099996
Number of Traces:	4713	(at 0.100000)	Average Number of Particles:	114.450000	Dilution::	200.000000
Image Evaluation:
Minimum Brightness:	30
Minimum Area:	10
Maximum Area:	1000
Maximum Brightness:	255
Tracking Radius2:	100
Minimum Tracelength:	45
Begin New Traces:	1
PSD log Correction:	0
Camera:	FpSec 90 #Cycles 10 FRate 30.000000
Gain:	19.200000
Offset:	0.000000
Shutter:	100.000000
Brightness:	NaN
Gamma:	NaN
Auto Exposure:	NaN
Camera Trigger Mode:	Camera Frequency
Camera Trigger Duration mus:	Shutter Duration
Camera Trigger Delay mus:	0
Laser Wavelength nm:	488.000000
Filter Wavelength nm:	Scatter
Position:	0.099996
actual Microscope:	-199447	(Pos	0.099996)
actual Laser:	-185117
Position0 Microscope:	-206817
Position0 Laser:	-194995
Position1 Microscope:	-133114
Position1 Laser:	-96212
Cell Thickness (Microscope Steps):	-73703
Cell Thickness (Laser Steps):	-98783
SL1 (Stationary Layer 1):	0.149500
SL2 (Stationary Layer 2):	0.850500
Cell parameter:
Cell#:	ZNTA
Micrometer per Pixel:	0.713000
Reference Electrode Distance:	5.150000
Voltage:	0.000000
Polarity:	1
Reference Voltage:	0.000000
Microscope Magnification:	x10
ZP Factor:	14.079340 (Smoluchowski)
Results (Pos 0.099996):
Median Number (D50):	234.219650
Median Concentration (D50):	234.219650
Median Volume (D50):	362.831894
Size Distribution
Size / nm	Number	Concentration / cm-3	Volume / nm^3	Area / nm^2
4.855E+2	1.800E+1	2.007E+5	1.079E+9	3.332E+6
5.033E+2	1.300E+1	1.449E+5	8.678E+8	2.586E+6
5.217E+2	1.000E+1	1.115E+5	7.436E+8	2.138E+6
5.408E+2	1.400E+1	1.561E+5	1.160E+9	3.216E+6
5.607E+2	1.000E+1	1.115E+5	9.228E+8	2.469E+6
5.812E+2	7.000E+0	7.804E+4	7.195E+8	1.857E+6
6.025E+2	3.000E+0	3.345E+4	3.435E+8	8.553E+5
6.246E+2	3.000E+0	3.345E+4	3.827E+8	9.191E+5
6.474E+2	3.000E+0	3.345E+4	4.263E+8	9.876E+5
6.712E+2	4.000E+0	4.460E+4	6.332E+8	1.415E+6
6.957E+2	3.000E+0	3.345E+4	5.290E+8	1.141E+6
7.212E+2	2.000E+0	2.230E+4	3.929E+8	8.171E+5
7.476E+2	2.000E+0	2.230E+4	4.376E+8	8.780E+5
7.750E+2	3.000E+0	3.345E+4	7.313E+8	1.415E+6
8.034E+2	2.000E+0	2.230E+4	5.431E+8	1.014E+6
8.329E+2	3.000E+0	3.345E+4	9.075E+8	1.634E+6
8.634E+2	1.000E+0	1.115E+4	3.370E+8	5.854E+5
8.950E+2	1.000E+0	1.115E+4	3.754E+8	6.291E+5
9.278E+2	0.000E+0	0.000E+0	0.000E+0	0.000E+0
9.618E+2	1.000E+0	1.115E+4	4.658E+8	7.265E+5
9.970E+2	3.000E+0	3.345E+4	1.557E+9	2.342E+6
1.034E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.071E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.111E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.151E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.193E+3	1.000E+0	1.115E+4	8.901E+8	1.119E+6
1.237E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.283E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.330E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.378E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.429E+3	1.000E+0	1.115E+4	1.527E+9	1.603E+6
1.481E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.535E+3	1.000E+0	1.115E+4	1.895E+9	1.851E+6
1.592E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.650E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.710E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.773E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.838E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.905E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
1.975E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.047E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.122E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.200E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.281E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.364E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.451E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.541E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.634E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.730E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.830E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
2.934E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.041E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.153E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.268E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.388E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.512E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.641E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.774E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
3.912E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
4.056E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
4.204E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
4.358E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
4.518E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
4.683E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
4.855E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
5.033E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
5.217E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
5.408E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
5.607E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
5.812E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
6.025E+3	0.000E+0	0.000E+0	0.000E+0	0.000E+0
